sku,make,model,year_from,year_to,confidence,matched_text
DEPO-00003,Mazda,BONGO,,,model_only,BONGO
DEPO-00004,Mazda,BONGO,,,model_only,BONGO
DEPO-00005,Mitsubishi,JUNIOR,,,model_only,JUNIOR
DEPO-00006,Mitsubishi,JUNIOR,,,model_only,JUNIOR
DEPO-00007,Toyota,LEVIN,1997,1997,high,LEVIN
DEPO-00008,Toyota,LEVIN,1997,1997,high,LEVIN
DEPO-00009,Suzuki,VITARA,,,model_only,VITARA
DEPO-00010,Suzuki,VITARA,,,model_only,VITARA
DEPO-00011,Suzuki,SWIFT,,,model_only,SWIFT
DEPO-00012,Suzuki,SWIFT,,,model_only,SWIFT
DEPO-00014,Subaru,FORESTER,,,model_only,FORESTER
DEPO-00015,Subaru,FORESTER,,,model_only,FORESTER
DEPO-00016,Subaru,FORESTER,,,model_only,FORESTER
DEPO-00017,Toyota,IPSUM,2004,2004,high,IPSUM
DEPO-00018,Toyota,STARLET,,,model_only,STARLET
DEPO-00020,Toyota,COROLLA,,,model_only,COROLLA
DEPO-00021,Toyota,CALDINA,,,model_only,CALDINA
DEPO-00023,Toyota,COROLLA,1990,1990,high,COROLLA
DEPO-00024,Nissan,TERRANO,,,model_only,TERRANO
DEPO-00027,Suzuki,APV,,,model_only,APV
DEPO-00028,Toyota,HILUX,1990,1990,high,HILUX
DEPO-00030,Toyota,LEVIN,,,model_only,LEVIN
DEPO-00031,Toyota,LEVIN,,,model_only,LEVIN
DEPO-00032,Toyota,PROBOX,,,model_only,PROBOX
DEPO-00033,Toyota,LITEACE,,,model_only,LITEACE
DEPO-00035,Toyota,HIACE,,,model_only,HIACE
DEPO-00036,Toyota,VIGO,,,model_only,VIGO
DEPO-00037,Honda,,,,make_only,Honda
DEPO-00038,Toyota,IPSUM,,,model_only,IPSUM
DEPO-00040,Toyota,LAND CRUISER,,,model_only,LAND CRUISER
DEPO-00041,Mitsubishi,MONTERO,2002,2002,high,MONTERO
DEPO-00042,Mitsubishi,MONTERO,1998,1998,high,MONTERO
DEPO-00043,Mitsubishi,MONTERO,1998,1998,high,MONTERO
DEPO-00044,Toyota,PROBOX,,,model_only,PROBOX
