sku,branch_code,qty,condition,note
DEPO-00001,SIN_ASIGNAR,1,defective,marked Defectuoso
DEPO-00002,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00003,TELEFERICO,1,good,opening count 2023-01
DEPO-00004,TELEFERICO,1,good,opening count 2023-01
DEPO-00005,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00006,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00007,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00008,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00009,TELEFERICO,1,good,opening count 2023-01
DEPO-00010,TELEFERICO,1,good,opening count 2023-01
DEPO-00011,3MARIAS,1,good,opening count 2023-01
DEPO-00012,3MARIAS,1,good,opening count 2023-01
DEPO-00013,3MARIAS,1,good,opening count 2023-01
DEPO-00014,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00015,3MARIAS,4,good,opening count 2023-01
DEPO-00016,3MARIAS,2,good,opening count 2023-01
DEPO-00017,TELEFERICO,1,good,opening count 2023-01
DEPO-00017,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00018,TELEFERICO,1,good,opening count 2023-01
DEPO-00019,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00020,TELEFERICO,1,good,opening count 2023-01
DEPO-00020,SIN_ASIGNAR,4,good,location unknown in legacy file
DEPO-00021,TELEFERICO,10,good,opening count 2023-01
DEPO-00021,SIN_ASIGNAR,5,good,location unknown in legacy file
DEPO-00022,3MARIAS,1,good,opening count 2023-01
DEPO-00022,TELEFERICO,1,good,opening count 2023-01
DEPO-00022,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00023,3MARIAS,4,good,opening count 2023-01
DEPO-00024,3MARIAS,5,good,opening count 2023-01
DEPO-00024,TELEFERICO,1,good,opening count 2023-01
DEPO-00025,SIN_ASIGNAR,44,good,location unknown in legacy file
DEPO-00026,SIN_ASIGNAR,7,good,location unknown in legacy file
DEPO-00027,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00028,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00029,3MARIAS,3,good,opening count 2023-01
DEPO-00029,TELEFERICO,1,good,opening count 2023-01
DEPO-00030,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00031,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00032,3MARIAS,3,good,opening count 2023-01
DEPO-00032,TELEFERICO,1,good,opening count 2023-01
DEPO-00033,3MARIAS,1,good,opening count 2023-01
DEPO-00033,TELEFERICO,1,good,opening count 2023-01
DEPO-00034,3MARIAS,3,good,opening count 2023-01
DEPO-00034,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00035,3MARIAS,8,good,opening count 2023-01
DEPO-00035,TELEFERICO,1,good,opening count 2023-01
DEPO-00035,SIN_ASIGNAR,3,good,location unknown in legacy file
DEPO-00036,TELEFERICO,2,good,opening count 2023-01
DEPO-00037,3MARIAS,2,good,opening count 2023-01
DEPO-00037,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00038,3MARIAS,2,good,opening count 2023-01
DEPO-00039,3MARIAS,3,good,opening count 2023-01
DEPO-00039,TELEFERICO,1,good,opening count 2023-01
DEPO-00040,TELEFERICO,1,good,opening count 2023-01
DEPO-00040,SIN_ASIGNAR,20,good,location unknown in legacy file
DEPO-00041,TELEFERICO,1,good,opening count 2023-01
DEPO-00041,SIN_ASIGNAR,3,good,location unknown in legacy file
DEPO-00042,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00043,3MARIAS,1,good,opening count 2023-01
DEPO-00043,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00044,3MARIAS,1,good,opening count 2023-01
DEPO-00044,TELEFERICO,2,good,opening count 2023-01
DEPO-00045,3MARIAS,4,good,opening count 2023-01
DEPO-00045,TELEFERICO,1,good,opening count 2023-01
DEPO-00046,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00047,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00048,3MARIAS,1,good,opening count 2023-01
DEPO-00049,3MARIAS,1,good,opening count 2023-01
DEPO-00050,3MARIAS,3,good,opening count 2023-01
DEPO-00050,TELEFERICO,1,good,opening count 2023-01
DEPO-00051,3MARIAS,3,good,opening count 2023-01
DEPO-00052,TELEFERICO,8,good,opening count 2023-01
DEPO-00052,SIN_ASIGNAR,10,good,location unknown in legacy file
DEPO-00053,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00054,TELEFERICO,1,good,opening count 2023-01
DEPO-00054,SIN_ASIGNAR,14,good,location unknown in legacy file
DEPO-00055,TELEFERICO,1,good,opening count 2023-01
DEPO-00056,SIN_ASIGNAR,3,good,location unknown in legacy file
DEPO-00057,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00058,TELEFERICO,1,good,opening count 2023-01
DEPO-00058,SIN_ASIGNAR,9,good,location unknown in legacy file
DEPO-00059,TELEFERICO,1,good,opening count 2023-01
DEPO-00059,SIN_ASIGNAR,2,good,location unknown in legacy file
DEPO-00060,SIN_ASIGNAR,1,good,location unknown in legacy file
DEPO-00061,TELEFERICO,2,good,opening count 2023-01
DEPO-00061,SIN_ASIGNAR,14,good,location unknown in legacy file
DEPO-00062,3MARIAS,3,good,opening count 2023-01
