;CODIGO;D E T A L L E ;Recuento;;;;;;
1182;SAE-40;Aceite PARA MOTOR;0;;;;;;
;F-A-IMPREZA-R;ALERON CELICA;1;;;;;;
;211-19B2-L;Alogeno BONGO ;0;;;FAROLES  ;;Aceite PARA MOTOR;0
;212-1105-L;Alogeno BONGO ;0;;;STOP;;ALERON CELICA;1
;214-1110-R;Alogeno Busca Huella COROLLA Mod.98~99~2000 ~;1;;;GUIÑADORES;;Alogeno BONGO ;0
;214-1112-L;Alogeno Busca Huella COROLLA Mod.98~99~2000 ~;1;;;JAPONES ;;Alogeno Busca Huella COROLLA Mod.98~99~2000 ~;2
;213-1926-R;Alogeno Busca Huella H3 LAND CRUISSER FJ75 Mod.85~2002 Amarillo;2;;;FIBRAS;;Alogeno Busca Huella H3 LAND CRUISSER FJ75 Mod.85~2002 Amarillo;2
478;12-197-R;Alogeno FORESTER;0;;;YOITOKI;;Alogeno FORESTER;0
446;210-63317-R;Alogeno FORESTER;0;;;;;Alogeno FORESTER AMARILLO;0
;210-87074-R;Alogeno FORESTER AMARILLO;0;;;;;Alogeno JUNIOR;0
238;847P-R;Alogeno JUNIOR;0;;;;;Alogeno LEVIN 97;0
1189;870005-G;Alogeno JUNIOR;0;;;;;Alogeno SUZUKI  VITARA ;2
;1569-L;Alogeno LEVIN 97;0;;;;;Alogeno SWIFT;0
794;16-115-L;Alogeno LEVIN 97;0;;;;;Alogeno SWIFT 907-38600;0
780;20-199-L;Alogeno SUZUKI  VITARA ;1;;;;;Alogeno VARIOS;0
781;20-199-R;Alogeno SUZUKI  VITARA ;1;;;;;AMORT/DEL (RH ) TOY COROLLA  AE101/CE100 YOITOKI;1
712;4022-R;Alogeno SWIFT;0;;;;;AMORT/DEL NISSAN CARAVAN E25 CHANCHO;0
711;4022-L;Alogeno SWIFT 907-38600;0;;;;;AMORT/DEL TOYOTA HILUX 2008-2010 DEL VIGO  YOITOKI;2
1153;ALICMD-002;Alogeno VARIOS;0;;;;;AMORT/TRAS KEYTON YOITOKI;1
142;870025-G;AMORT/DEL (RH ) TOY COROLLA  AE101/CE100 YOITOKI;1;;;;;AMORT/TRAS(R/L) SUZUKI GRAND VITARA/ESCUDO/SE416/SV420/SV620/X-90 ´96;3
;870104-G;AMORT/DEL NISSAN CARAVAN E25 CHANCHO;0;;;;;AMORTIGUADOR APV;2
186;010467-L;AMORT/DEL TOYOTA HILUX 2008-2010 DEL VIGO  YOITOKI;2;;;;;Amortiguador CARRY TRASERO;0
1165;860018;AMORT/TRAS KEYTON YOITOKI;1;;;;;AMORTIGUADOR CHARIOT ;1
1186;870089-G;AMORT/TRAS(R/L) SUZUKI GRAND VITARA/ESCUDO/SE416/SV420/SV620/X-90 ´96;3;;;;;amortiguador corolla trasero;1
34;870100-G;AMORTIGUADOR APV;2;;;;;Amortiguador COROLLA TRASERO L;1
1007;223604;Amortiguador CARRY TRASERO;0;;;;;Amortiguador DE CALDINA RTRASERO A MUELLE;0
36;870106-G;AMORTIGUADOR CHARIOT ;1;;;;;Amortiguador DE CARRY ;1
;00-218-1905-R;amortiguador corolla trasero;1;;;;;Amortiguador DE COROLLA TRASERO 90 º;0
;00-218-1905-L;Amortiguador COROLLA TRASERO L;1;;;;;Amortiguador DE PATHINDER TERRANO TRASERO 56210-0W001;0
1188;870033-G;Amortiguador DE CALDINA RTRASERO A MUELLE;0;;;;;Amortiguador DE Puerta PARES;0
145;870118-G;Amortiguador DE CARRY ;1;;;;;Amortiguador DE Puerta SUELTOS;0
1145;870096-G;Amortiguador DE COROLLA TRASERO 90 º;0;;;;;Amortiguador DELANTERO APV;1
143;870086-G;Amortiguador DE PATHINDER TERRANO TRASERO 56210-0W001;0;;;;;Amortiguador DELANTERO HILUX 90STAU SD-2007;1
;B-SCOOTER;Amortiguador DE Puerta PARES;0;;;;;Amortiguador DELANTERO L VITARA ESCUDO ;1
;B38-C-L;Amortiguador DE Puerta SUELTOS;0;;;;;Amortiguador DELANTERO LEVIN TRUENO L;0
144;87009-O;Amortiguador DELANTERO APV;1;;;;;Amortiguador DELANTERO LEVIN TRUENO R;0
1054;DS07050GA-U;Amortiguador DELANTERO HILUX 90STAU SD-2007;1;;;;;Amortiguador DELANTERO PROBOX (L);0
31;870060-G;Amortiguador DELANTERO L VITARA ESCUDO ;1;;;;;Amortiguador Delantero R-L NOAH LITEACE 97-02 GAS;2
;001-6840-R;Amortiguador DELANTERO LEVIN TRUENO L;0;;;;;Amortiguador DELNTERO CARRY ;0
;001-6840-L;Amortiguador DELANTERO LEVIN TRUENO R;0;;;;;AMORTIGUADOR duster;1
253;0043-R;Amortiguador DELANTERO PROBOX (L);0;;;;;Amortiguador HIACE ;1
;87005-G;Amortiguador Delantero R-L NOAH LITEACE 97-02 GAS;2;;;;;Amortiguador HIACE TRSERO;0
;870107-O;Amortiguador DELNTERO CARRY ;0;;;;;Amortiguador HIALUX VIGO DELANTERO SHIBUMI;0
1185;850032;AMORTIGUADOR duster;1;;;;;Amortiguador HONDA EG TRASERO;0
1130;870026-G;Amortiguador HIACE ;1;;;;;Amortiguador IPSUM 2004 TRASERO;0
1013;870013-G;Amortiguador HIACE TRSERO;0;;;;;Amortiguador IZUSU TROPER DELANTERO SHIBUMI;4
1088;850027;Amortiguador HIALUX VIGO DELANTERO SHIBUMI;0;;;;;Amortiguador LAND CRUISER ;1
1135;870077-G;Amortiguador HONDA EG TRASERO;0;;;;;Amortiguador MONTERO DELANTERO 02;4
447;9206-L;Amortiguador IPSUM 2004 TRASERO;0;;;;;Amortiguador MONTERO TRASER 98;0
1099;122472;Amortiguador IZUSU TROPER DELANTERO SHIBUMI;4;;;;;AMORTIGUADOR PROBOX;0
1144;870047-G;Amortiguador LAND CRUISER ;1;;;;;Amortiguador PROBOX 4WD 1NZ 4X4 RH;0
1180;870068-G;Amortiguador MONTERO DELANTERO 02;4;;;;;Amortiguador PROBOX NOAH TRASERO;1
;870052-O;Amortiguador MONTERO TRASER 98;0;;;;;Amortiguador RAV4 DELANTERO ;1
1137;870058-G;Amortiguador MONTERO TRASER 98;0;;;;;Amortiguador SUZUKI ALTO;0
252;0043-L;AMORTIGUADOR PROBOX;0;;;;;Amortiguador SUZUKI SWIFT L;1
208;010131-R;Amortiguador PROBOX 4WD 1NZ 4X4 RH;0;;;;;Amortiguador SUZUKI SWIFT R;1
;87006-G;Amortiguador PROBOX NOAH TRASERO;1;;;;;Amortiguador SUZUKI VITRA R;0
;870082-G;Amortiguador RAV4 DELANTERO ;1;;;;;Amortiguador TOWN ACE NOAH DELANTERO;1
188;010466-L;Amortiguador SUZUKI ALTO;0;;;;;Amortiguador TOYOTA DELANTERO HIACE;0
1010;A-VAR;Amortiguador SUZUKI SWIFT L;1;;;;;Amortiguador TOYOTA STARLET;1
;A-244;Amortiguador SUZUKI SWIFT R;1;;;;;Amortiguador TRASERO CALDINA 4X4 TURING ®;0
33;870065-G;Amortiguador SUZUKI VITRA R;0;;;;;Amortiguador TRASERO CALDINA 4X4 TURING L{;0
1169;870051-G;Amortiguador TOWN ACE NOAH DELANTERO;1;;;;;Amortiguador TRASERO CALDINA ESPIRAL (L);1
;87009-G;Amortiguador TOYOTA DELANTERO HIACE;0;;;;;Amortiguador TRASERO DE COROLLA A GAS;0
1129;400001;Amortiguador TOYOTA STARLET;1;;;;;Amortiguador TRASERO HIACE 2001-2005 OREJA GRANDE;6
1147;870007-G;Amortiguador TRASERO CALDINA 4X4 TURING ®;0;;;;;Amortiguador TRASERO MITSUBISHI CHARIOT RVR;1
1170;870007-O;Amortiguador TRASERO CALDINA 4X4 TURING L{;0;;;;;Amortiguador TRASERO STARLET EP82;0
1143;870047-O;Amortiguador TRASERO CALDINA ESPIRAL (L);1;;;;;Amortiguador Trasero TOY COROLLA RH AE101-CE100 GAS YOITOKI;0
;870017-G;Amortiguador TRASERO DE COROLLA A GAS;0;;;;;Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO GAS;8
1187;870103-G;Amortiguador TRASERO HIACE 2001-2005 OREJA GRANDE;6;;;;;Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO OIL;0
35;870105-G;Amortiguador TRASERO MITSUBISHI CHARIOT RVR;1;;;;;AMORTIGUADOR UNIVERSAL;1
1134;341372;Amortiguador TRASERO STARLET EP82;0;;;;;Amortiguador URVAN CHANCHO E25 DELANTERO;0
141;870021-G;Amortiguador Trasero TOY COROLLA RH AE101-CE100 GAS YOITOKI;0;;;;;Anticongelante SUPER KOTE COLOR AMARILLO;0
139;870008-G;Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO GAS;8;;;;;Anticongelante SUPER KOTE COLOR VERDE;0
140;870009-G;Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO OIL;0;;;;;Aro SUBARU DORADO;0
1154;123229;AMORTIGUADOR UNIVERSAL;1;;;;;ASIENTO SCOOTER ELECTRICO ;0
185;8102-R;Amortiguador URVAN CHANCHO E25 DELANTERO;0;;;;;Aspa IPSUM 96~97~98~99~2000 VENTILADOR COMPLETO 36,5cmX35,4cm;0
1192;SK-A;Anticongelante SUPER KOTE COLOR AMARILLO;0;;;;;BICEL MITSUBISHI MONTERO 90 ;0
1191;SK-V;Anticongelante SUPER KOTE COLOR VERDE;0;;;;;Bisel COROLLA 90;0
787;20-179-R;Aro SUBARU DORADO;0;;;;;Bisel COROLLA KE70 84 212-1231;0
;SCOOTER-A;ASIENTO SCOOTER ELECTRICO ;0;;;;;Bisel COROLLA KE70 84 CON FRANJA BLANCA 212-1227;0
942;GPC-1001;Aspa IPSUM 96~97~98~99~2000 VENTILADOR COMPLETO 36,5cmX35,4cm;0;;;;;Bisel CORONA CON Media luz 212-1535;0
;214-1531-R;BICEL MITSUBISHI MONTERO 90 ;0;;;;;Bisel CUSTOM 90 CROMADO;0
882;53140-95J07-R;Bisel COROLLA 90;0;;;;;Bisel CUSTOM 90 PLOMO completo;2
;1517-L;Bisel COROLLA KE70 84 212-1231;0;;;;;Bisel DE Farol CALDINA GT ;0
998;1469-R;Bisel COROLLA KE70 84 CON FRANJA BLANCA 212-1227;0;;;;;Bisel DE Mascara JUNIOR;0
407;210-37779-L;Bisel CORONA CON Media luz 212-1535;0;;;;;Bisel DE Stop SUBARU IMPREZA;0
314;542833-R;Bisel CUSTOM 90 CROMADO;0;;;;;Bisel HIACE  Mod,85~88 Foco CUADRADO 212-1221;0
883;53140-95J08-R;Bisel CUSTOM 90 PLOMO completo;1;;;;;Bisel NISSAN AD ;0
220;5419-R;Bisel CUSTOM 90 PLOMO completo;1;;;;;Bisel NISSAN URVAN;0
974;BM-JUNIOR;Bisel DE Farol CALDINA GT ;0;;;;;BISEL SUBARU DOMINGO RASPADILLO ( FIBRA ) ;2
972;BS-IMPREZA-L;Bisel DE Farol CALDINA GT ;0;;;;;BISEL SUBARU DOMINGO RASPADILLO (FIBRA ) ;2
973;BS-IMPREZA-R;Bisel DE Mascara JUNIOR;0;;;;;BISEL SUBARU DOMINGO RASPADILLO JAPONÉS  ;0
;BU-SURF-F-L;Bisel DE Stop SUBARU IMPREZA;0;;;;;Bisel SUNNY 310;0
164;BU-SURF-F-R;Bisel DE Stop SUBARU IMPREZA;0;;;;;Bisel Y Media luz 212-1203 F-KE 1972;0
