;CODIGO;D E T A L L E ;RECUENTO;;Defectuoso;C/U;;Total;;3 marias;;teleférico rojo;2024 3 MARIAS ;2024 Teleférico rojo 
512;2644-R;212-15D5 DE HICE ;;;1;;;0;;;;;;
1182;SAE-40;Aceite PARA MOTOR;2;;;20;;40;;;;;;
146;210-0202-002-L;Alogeno BONGO ;1;;;200;;200;;;;1;;
147;210-0202-002-R;Alogeno BONGO ;1;;;200;;200;;;;1;;
148;846-L;Alogeno JUNIOR;1;;;200;;200;;;;;;
149;846-R;Alogeno JUNIOR;1;;;200;;200;;;;;;
1200;13-42-L;Alogeno LEVIN 97;1;;;250;;250;;;;;;
1201;13-42-R;Alogeno LEVIN 97;1;;;250;;250;;;;;;
158;19027-L;Alogeno SUZUKI  VITARA ;1;;;200;;200;;;;1;;
159;19027-R;Alogeno SUZUKI  VITARA ;1;;;200;;200;;;;1;;
156;400-L;Alogeno SWIFT;1;;;150;;150;;1;;;;
157;400-R;Alogeno SWIFT;1;;;150;;150;;1;;;;
1010;A-VAR;Alogeno VARIOS;1;;;1;;1;;1;;;;
155;114-20257-TW-R;Alogeno FORESTER;1;;;160;;160;;0;;;;
150;20597-C;Alogeno FORESTER;4;;;190;;760;;4;;;;
152;20597-Y;Alogeno FORESTER AMARILLO;2;;;700;;1400;;2;;;;
145;870118-G;Amortiguador IPSUM 2004 TRASERO;3;;;125;;375;;;;1;;
1181;121118;Amortiguador TOYOTA STARLET;1;;;142,5;;142,5;;;;1;;
1171;87017;Amortiguador CARRY TRASERO;2;;;142,5;;285;;;;;;
28;870014;Amortiguador COROLLA TRASERO L;5;;;155;;775;;;;1;;
142;870025-G;Amortiguador DE CALDINA RTRASERO A MUELLE;15;;;68;;1020;;;;10;;
36;870106-G;Amortiguador DE CARRY ;3;;;150;;450;;1;;1;;
144;87009-O;Amortiguador DE COROLLA TRASERO 90 º;4;;;63;;252;;4;;;;
1135;870077-G;Amortiguador DE PATHINDER TERRANO TRASERO 56210-0W001;6;;;75;;450;;5;;1;;
161;AP-P;Amortiguador DE Puerta PARES;44;;;100;;4400;;;;;;
162;AP-S;Amortiguador DE Puerta SUELTOS;7;;;50;;350;;;;;;
1186;870089;Amortiguador DELANTERO APV;1;;;142,5;;142,5;;;;;;
1172;DS-2007;Amortiguador DELANTERO HILUX 90;1;;;125;;125;;;;;;
30;870059-G;Amortiguador DELANTERO L;3;;;130;;390;;3;;1;;
1178;870028;Amortiguador DELANTERO LEVIN TRUENO L;1;;;142,5;;142,5;;;;;;
1179;870027;Amortiguador DELANTERO LEVIN TRUENO R;1;;;142,5;;142,5;;;;;;
29;870044;Amortiguador DELANTERO PROBOX (L);4;;;135;;540;;3;;1;;
1144;870047-G;Amortiguador Delantero R-L NOAH LITEACE 97-02 GAS;2;;;72;;144;;1;;1;;
35;870105-G;Amortiguador DELNTERO CARRY ;5;;;23;;115;;3;;;;
141;870021-G;Amortiguador HIACE ;12;;;34,5;;414;1;8;;1;;
1134;341372;Amortiguador HIALUX VIGO DELANTERO SHIBUMI;2;;;230;;460;;;;2;;
33;870065-G;Amortiguador HONDA EG TRASERO;4;;;130;;520;;2;;;;
34;870100-G;Amortiguador IPSUM MODERNO DELANTERO ;2;;;68;;136;;2;;3;;
1136;2618;Amortiguador IZUSU TROPER DELANTERO SHIBUMI;4;;;63;;252;;3;;1;;
1130;870026-G;Amortiguador LAND CRUISER ;21;;;65,5;;1375,5;;;;1;;
32;870063-G;Amortiguador MONTERO DELANTERO 02;4;;;130;;520;;;;1;;
1169;870051-G;Amortiguador MONTERO TRASER 98;1;;;65,5;;65,5;;;;;;
1146;870051-O;Amortiguador MONTERO TRASER 98;2;;;65,5;;131;;1;;;;
1014;870045;Amortiguador PROBOX 4WD 1NZ 4X4 RH;3;;;42,5;;127,5;;1;;2;;
1137;870058-G;Amortiguador PROBOX NOAH TRASERO;5;;;72;;360;;4;;1;;
1180;870068-G;Amortiguador RAV4 DELANTERO ;1;;;168;;168;;;;;;
38;870122;Amortiguador SUZUKI ALTO;2;;;34;;68;;;;;;
1142;A-2159;Amortiguador SUZUKI SWIFT L;1;;;168;;168;;1;;;;
1141;A-2158;Amortiguador SUZUKI SWIFT R;1;;;168;;168;;1;;;;
31;870060-G;Amortiguador SUZUKI VITRA R;3;;;130;;390;;3;;1;;
1143;870047-O;Amortiguador TOWN ACE NOAH DELANTERO;3;;;65,5;;196,5;;3;;;;
143;870086-G;Amortiguador TOYOTA DELANTERO HIACE;18;;;68;;1224;;;;8;;
1188;870033-G;Amortiguador TRASERO CALDINA ESPIRAL (L);1;;;142,5;;142,5;;;;;;
140;870009-G;Amortiguador TRASERO DE COROLLA A GAS;15;;;68;;1020;;;;1;;
1187;870103-G;Amortiguador TRASERO MITSUBISHI CHARIOT RVR;1;;;125;;125;;;;1;;
2;120079;Amortiguador TRASERO STARLET EP82;3;;;50;;150;;;;;;
1013;870013-G;Amortiguador Trasero TOY COROLLA RH AE101-CE100 GAS YOITOKI;2;;;142,5;;285;;;;;;
1147;870007-G;Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO GAS;10;;;65,5;;655;;;;1;;
1170;870007-O;Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO OIL;3;;;65,5;;196,5;;;;1;;
1173;810100-G;Amortiguador URVAN CHANCHO E25 DELANTERO;1;;;65,5;;65,5;;;;;;
139;870008-G;Amortiguador HIACE TRSERO;16;;;59,5;;952;;;;2;;
1145;870096-G;Amortiguador TRASERO HIACE 2001-2005 OREJA GRANDE;4;;;145;;580;;3;;1;;
1192;SK-A;Anticongelante SUPER KOTE COLOR AMARILLO;1;;;75;;75;;;;;;
1191;SK-V;Anticongelante SUPER KOTE COLOR VERDE;2;;;46;;92;;;;;;
1009;16X7JJ-5;Aro SUBARU DORADO;7;;;300;;2100;;;;;;
942;GPC-1001;Aspa IPSUM 96~97~98~99~2000 VENTILADOR COMPLETO 36,5cmX35,4cm;7;;;160;;1120;;;;;;
961;53131-13020-R;Bisel COROLLA 90;1;;;1;;1;;;;;;
1049;13-31-R;Bisel COROLLA KE70 84 212-1231;1;;;20;;20;;1;;;;
1048;13-28-R;Bisel COROLLA KE70 84 CON FRANJA BLANCA 212-1227;2;;;20;;40;;2;;;;
975;BF-CALDINA-L;Bisel DE Farol CALDINA GT ;1;;;1;;1;;;;;;
976;BF-CALDINA-R;Bisel DE Farol CALDINA GT ;1;;;1;;1;;;;;;
974;BM-JUNIOR;Bisel DE Mascara JUNIOR;1;;;1;;1;;;;;;
972;BS-IMPREZA-L;Bisel DE Stop SUBARU IMPREZA;1;;;1;;1;;;;;;
973;BS-IMPREZA-R;Bisel DE Stop SUBARU IMPREZA;1;;;1;;1;;;;;;
1051;53130-95J05-R;Bisel HIACE  Mod,85~88 Foco CUADRADO 212-1221;3;;;25;;75;;3;;;;
1050;74081-EX0100-L;Bisel SUNNY 310;1;;;1;;1;;1;;;;
11;860033;Brazo de cremallera HIDRAULICO IPSUM (Hilo fino x 1.5 ext.)16X14X1,5;4;;;33;;132;;;;;;
10;860030;Brazo de cremallera HIDRAULICO YOITOKI            UNIVERSAL  14X16 ;26;;;25;;650;;;;;;
9;860029;Brazo de cremallera TOYOTA LARGO  YOITOKI   Mecanico        14X14;6;;;36;;216;;17;;;;
1138;860096;Brazo de cremallera TOYOTA/NISSAN LARGO YOITOKI Mecanico 14X15;11;;;26;;286;;;;;;
164;BU-SURF-F-R;Buchera HILUX SURF 96 FIBRA;1;;;35;;35;;6;;;;
900;CALIPER-VAR;Caliper STI MORDAZA;6;;;350;;2100;;;;;;
174;GF-DOMINGO-L;Cantonera METALICA DE SUBARU DOMINGO ;1;;;70;;70;;;;;;
175;GF-DOMINGO-R;Cantonera METALICA DE SUBARU DOMINGO ;1;;;70;;70;;;;;;
170;C-FORESTER-97;Capota FORESTER 97;1;;;1;;1;;;;;;
169;C-CIVIC-92;Capota HONDA CIVIC EG;2;;;300;;600;;;;;;
171;C-EVO4;Capota MITSUBISHI EVOLUTION 4;1;;;1000;;1000;;;;;;
176;C-CULTUS-91;Capota SUZUKI CULTUS;1;;;300;;300;;;;;;
177;C-VITARA-97;Capota SUZUKI VITARA 97 ESCUDO ;1;;;700;;700;;;;;;
178;C-SURF-96;Capota TOYOTA HILUX SURF ;1;;;700;;700;;;;;;
1084;CAT-300;Capuchón CON TOPE DE Amortiguador;25;;;11;;275;;;;;;
1086;400402;Capuchón de cremallera HIDRAULICO CORTO MAMUT;40;;;9;;360;;38;;;;
1129;400001;Capuchón de JUNTA CE90/AE90 MAMUT;45;;;9;;405;;;;;;
1085;400002;Capuchón de JUNTA CE90/AE90 MAMUT ;23;;;7;;161;;;;;;
1087;400200;Capuchón de TRICETA Toyota AE90~CE90 MAMUT;10;;;9;;90;;;;;;
565;CHI-P-M;Chisguete DE PARCHOQUE MONTERO ;4;;;25;;100;;;;;;
1081;CP-RAV4-F;Cola DE PATO RAV 4 98 FIBRA;1;;;150;;150;;;;;;
1081;CP-RAV4;Cola DE PATO RAV 4 98 ORIGINAL ;1;;;300;;300;;1;;;;
1082;CP-FORESTER00-F;Cola DE PATO SUBARU FORESTER 2000 Fibra vidrio;1;;;150;;150;;2;;;;
1082;CP-FORESTER97;Cola DE PATO SUBARU FORESTER 97;1;;;50;;50;;1;;;;
902;CON-VAR;Consola CENTRAL;13;;;50;;650;;;;;;
1199;CON-R-VAR;Consola de Radio CARIB Café;3;;;66;;198;;;;;;
47;212-1592-L;Media luz COROLLA Mod. 95 ~ 96 AE110. SAPITO;1;;;20;;20;;20;;1;;
1132;121222;Cruceta de dirección Completa TOYOTA  AE 90  ( CARDAN ) YOI-273;7;;;40;;280;;6;;;;
1133;121219;Cruceta de dirección Completa TOYOTA TURING HIDRAULICO CORTO YOI-265;2;;;40;;80;;1;;;;
1131;121221;Cruceta de dirección Completa YOI-272 UNIVERSAL;13;;;40;;520;;12;;;;
1205;FJD005U;Disco Subaru DOMINGO;1;;;261;;261;;;;;;
908;CPU-1F;ECU SUBARU;1;;;700;;700;;1;;;;
907;CPU-4W;ECU SUBARU;2;;;700;;1400;;2;;;;
897;CPU-3S-G  ;ECU TOYOTA 3SG;;;;400;;0;;;;;;
332;21-32-R;Embellecedor CALDINA TURING ;1;;;150;;150;;1;;;;
