BIGDAM INTERNACIONAL LTDA.;;;;;;;
Manzana 04 Galpón 28 Zofri;;;;;;;
511374 - 511373;;;;;;;
N.I.T. 77.852.370-1;;;;;;;
LISTA EN STOCK DE MERCADERIA;;;;;;;
;;;;;;;
CODIGO LOCAL;N.PIEZA;DESCRIPCION;ORIGEN;MARCA;UNIDAD;CANTIDAD;P.UNIT.
870163-G;4106862L00;AMORT DEL L NISSAN PIXO (UA0) 1999(2003 GAS;KO;YOI;UNI;60,00;19,04
870162-G;4106962L00;AMORT DEL R NISSAN PIXO (UA0) 1999(2003 GAS;KO;YOI;UNI;59,00;19,04
870121-G;55310-02000;AMORT SUZUKI ALTO 08/2014;KO;YOI;UNI;68,00;7,87
870097-G;4853052440;AMORT TRAS TOY PROBOX/SUCCEED 98/04 GAS;KO;YOI;UNI;944,00;7,45
870164-G;4180062L00;AMORT TRAS. R/L NISSAN PIXO (UA0) 1999(2003 GAS;KO;YOI;UNI;49,00;8,91
870034;HQ-YOI-172L;AMORT/ TRAS (LH) RECARGABLE C/ROSCA TOY CALDINA CORONA CURREN CELICA DEPORTIVO 5 PERNOS;KO;YOI;UNI;211,00;17,65
870034-G;YOI-172L;AMORT/ TRAS (LH) RECARGABLE C/ROSCA TOY CALDINA CORONA CURREN CELICA DEPORTIVO 5 PERNOS;KO;YOI;UNI;162,00;17,65
870033;HQ-YOI-172R;AMORT/ TRAS (RH) RECARGABLE C/ROSCA TOY CALDINA CORONA CURREN CELICA DEPORTIVO 5 PERNOS;KO;YOI;UNI;186,00;17,65
870033-G;YOI-172R;AMORT/ TRAS (RH) RECARGABLE C/ROSCA TOY CALDINA CORONA CURREN CELICA DEPORTIVO 5 PERNOS;KO;YOI;UNI;150,00;17,65
870044-G;YOI-178-L-Y;AMORT/(LH) TOYOTA PROBOX 4WD 1NZ 4X4;KO;YOI;UNI;163,00;17,65
870045-G;YOI-178-R-Y;AMORT/(RH) TOYOTA PROBOX 4WD 1NZ 4X4;KO;YOI;UNI;162,00;17,65
870027;HQ-B-3090 HDR-Y;AMORT/DEL ( LH ) RECARGABLE C/ROSCA COROLLA/SPRINTER/SPACIO/CARIBE/CORONA/LEVIN TRUENO;KO;YOI;UNI;382,00;18,13
870072-G;335016;AMORT/DEL (L) NISSAN TERRANO LR-50 96-99;KO;YOI;UNI;52,00;19,50
120066;B-3091 HDR-Y;AMORT/DEL (L) RECARGABLE C/ROSCA TOY/SPRINTER;KO;YOI;UNI;21,00;18,13
870076-G;B1100;AMORT/DEL (L) SENTRA-B15.00-54303-5M400;KO;YOI;UNI;50,00;17,70
870080-G;41602-65D10;AMORT/DEL (L) SUZUKI GRAND VITARA  XL-07/GRAND ESCUDO '01/07-;KO;YOI;UNI;30,00;17,57
870006;HQ-48530-20861-L-Y;AMORT/DEL (L) TOY CALDINA YOITOKI;KO;YOI;UNI;114,00;17,65
870084-G;48520-49016;AMORT/DEL (L) TOY RAV4/SXA10G/SXA11G/SXA15G/SXA16G  ´98/01-00/04;KO;YOI;UNI;44,00;18,35
870048;HQ-B-2189-Y;AMORT/DEL (L) TOY. STARLET CARAT EL50/TERCEL 95;KO;YOI;UNI;759,00;18,13
870057-G;B-2187 HD-Y;AMORT/DEL (L) TOY.TERCEL/STARLET/CORSA/COROLLA 2;KO;YOI;UNI;22,00;17,65
870068;HQ-334483;AMORT/DEL (L), TOY  RAV4. 97-00;KO;YOI;UNI;2,00;17,57
870114-G;54303EM01A;AMORT/DEL (LH) NISSAN TIIDA/VERSA 04/ADEL USA;KO;YOI;UNI;2,00;17,85
870105-G;4160262C00;AMORT/DEL (LH) SUZUKI CARRY 85/03;KO;YOI;UNI;108,00;15,15
870018-G;B-3091-Y-HD;AMORT/DEL (LH) TOY COROLLA  AE101/CE100 YOITOKI;KO;YOI;UNI;765,00;17,65
870131-G;341397;AMORT/DEL (LH) TOY HILUX FORTUNER/HILUX VIGO KUN-15 '2004-2016;KO;YOI;UNI;54,00;17,01
870110-G;4852002150;AMORT/DEL (LH) TOYOTA COROLLA ZZE121;KO;YOI;UNI;106,00;18,18
870062;HQ-B-3286;AMORT/DEL (LH) TOYOTA RAV4 2000;KO;YOI;UNI;15,00;21,05
870037-G;B-3090/91 HD-Y;AMORT/DEL (LH/RH) TOYOTA AE100/CE100;KO;YOI;UNI;8,00;17,65
870071-G;335015;AMORT/DEL (R) NISSAN TERRANO LR-50 96-99;KO;YOI;UNI;66,00;19,50
870075-G;B1099;AMORT/DEL (R) SENTRA-B15.00-54303-5M400;KO;YOI;UNI;48,00;17,70
870081-G;41601-65D10;AMORT/DEL (R) SUZUKI GRAND VITARA  XL-07/GRAND ESCUDO ´01/07-;KO;YOI;UNI;36,00;17,57
870005;HQ-48530-20861-R-Y;AMORT/DEL (R) TOY CALDINA YOITOKI;KO;YOI;UNI;112,00;17,65
870083-G;48510-49016;AMORT/DEL (R) TOY RAV4/SXA10G/SXA11G/SXA15G/SXA16G ´98/01-00/04;KO;YOI;UNI;51,00;18,35
870056-G;B-2186 HD-Y;AMORT/DEL (R) TOY TERCEL/STARLET/CORSA/COROLLA 2;KO;YOI;UNI;21,00;17,65
870049;HQ-B-2188-Y;AMORT/DEL (R) TOY. STARLET CARAT EL50/TERCEL 95;KO;YOI;UNI;761,00;18,13
870067;HQ-334482;AMORT/DEL (R), TOY RAV4. 97-00;KO;YOI;UNI;1,00;17,57
870047-G;343357-Y;AMORT/DEL (R/L)  NOAH LITEACE 97/02;KO;YOI;UNI;664,00;8,47
870085-O;MB-573606;AMORT/DEL (R/L) MITSUBISHI SPACE WAGON (VAN)/EXPO/CHARIOT/NIMBUS ´91/09-97/08;KO;YOI;UNI;69,00;18,92
870082-O;41700-60A01;AMORT/DEL (R/L) SUZUKI GRAND VITARA/ESCUDO/SE416/SV420/SV620/X-90 ´96;KO;YOI;UNI;29,00;9,00
870017-G;B-3090-Y-HD;AMORT/DEL (RH ) TOY COROLLA  AE101/CE100 YOITOKI;KO;YOI;UNI;803,00;17,65
