CODIGO_ITEM ;NRO_PIEZA ;CODIGO_2 ;CODIGO_SUSTITUTO_1 ;DESCRIPCION ;CATEGORIA ;PRECIO_1_BS ;PESO ;VOL_CM3_UNID ;VOL_CBM_UNID ;UNID_X_CAJA ;NOMBRE_FAMILIA ;NOMBRE_GRUPO ;NOMBRE_SUBGRUPO ;NOMBRE_MARCA ;NOMBRE_UNIDAD ;NOMBRE_ORIGEN ;ALMACEN ;STOCK_MINIMO ;STOCK_MAXIMO ;NOMBRE_PROVEEDOR_1 ;NOMBRE_PROVEEDOR_2 ;NOMBRE_PROVEEDOR_3 ;CANTIDAD ;
MB20051A;;;;CAPO MITSUBISHI MINI PAJERO 08 H5# -;ACCESORIO;1288;0,1;0,01;0,01;1;MITSUBISHI;ACCESORIOS;PARTES;TYG;UNIDAD;TAIWAN;F: (0), A: (2);;;TONG YANG;;;2;
MB20032A;;;;CAPO MITUBISHI MONTERO SPORT 00 C-Nozzle Hole;ACCESORIO;1605;0,1;0,01;0,01;1;MITSUBISHI;ACCESORIOS;PARTES;TYG;UNIDAD;TAIWAN;F: (0), A: (3);;;TONG YANG;;;3;
TH-2141-L;;TH-2141-L;;ESPEJO LAT MB Montero-Pajero 97-00 LHD Manual Negro;ACCESORIO;283;0,1;0,01;0,01;6;MITSUBISHI;ACCESORIOS;PARTES;THM;UNIDAD;TAIWAN;F: (0), A: (1);;;TONG YANG;;;1;
TH-2141-R;;TH-2141-R;;ESPEJO LAT MB Montero-Pajero 97-00 LHD Manual Negro;ACCESORIO;283;0,1;0,01;0,01;6;MITSUBISHI;ACCESORIOS;PARTES;THM;UNIDAD;TAIWAN;F: (0), A: (1);;;TONG YANG;;;1;
YT-7240CEL;;YT-7240CEL;;ESPEJO LAT MB PAJERO-MONTERO Cromado '01-'06;ACCESORIO;512;0,1;0,01;0,01;20;MITSUBISHI;ACCESORIOS;PARTES;YTM;UNIDAD;TAIWAN;F: (0), A: (1);;;TONG YANG;;;1;
YT-7240CER;;MBM1053HR;;ESPEJO LAT MB PAJERO-MONTERO Cromado '01-'06;ACCESORIO;512;0,1;0,01;0,01;20;MITSUBISHI;ACCESORIOS;PARTES;YTM;UNIDAD;TAIWAN;F: (0), A: (1);0;0;TONG YANG;;;1;
YT-7231G-R;;MBM1049AGR;;ESPEJO LAT SUELTO , MITSUBISHI TRITON L200 06 LHD (GLASS ONLY);ACCESORIO;89;0,1;0,01;0,01;20;MITSUBISHI;ACCESORIOS;PARTES;YTM;UNIDAD;TAIWAN;F: (12), A: (2);0;0;TONG YANG;;;14;
YT-7274EL;;SZM1017FLE;;ESPEJO LAT SZ Swift 05 Elect, LHD (VM-6900E);ACCESORIO;415;0,1;0,01;0,01;5;SUZUKI;ACCESORIOS;PARTES;THM;UNIDAD;TAIWAN;F: (0), A: (3);0;0;TONG YANG;;;3;
YT-7274ER;;SZM1017FRE;;ESPEJO LAT SZ Swift 05 Elect, LHD (VM-6900E);ACCESORIO;415;0,1;0,01;0,01;5;SUZUKI;ACCESORIOS;PARTES;THM;UNIDAD;TAIWAN;F: (0), A: (3);0;0;TONG YANG;;;3;
TYM1121AR;;87910-02380;;ESPEJO LAT TY Corolla EE91 03 ELECTRICO (CE MODEL);ACCESORIO;208;0,1;0,01;0,01;5;TOYOTA;ACCESORIOS;PARTES;SIN MARCA;UNIDAD;TAIWAN;SUCURSAL KM.14: (1), F: (0), A: (0);;;TONG YANG;;;1;
