sku,alias,source
DEPO-00001,212-15D5 DE HICE,legacy
DEPO-00001,2644,legacy
DEPO-00001,2644-R,legacy
DEPO-00002,SAE-40,legacy
DEPO-00002,Aceite PARA MOTOR,legacy
DEPO-00003,Alogeno BONGO,legacy
DEPO-00003,210-0202-002,legacy
DEPO-00003,210-0202-002-L,legacy
DEPO-00004,Alogeno BONGO,legacy
DEPO-00004,210-0202-002-R,legacy
DEPO-00004,210-0202-002,legacy
DEPO-00005,846-L,legacy
DEPO-00005,846,legacy
DEPO-00005,Alogeno JUNIOR,legacy
DEPO-00006,846,legacy
DEPO-00006,Alogeno JUNIOR,legacy
DEPO-00006,846-R,legacy
DEPO-00007,13-42-L,legacy
DEPO-00007,13-42,legacy
DEPO-00007,Alogeno LEVIN 97,legacy
DEPO-00008,13-42-R,legacy
DEPO-00008,13-42,legacy
DEPO-00008,Alogeno LEVIN 97,legacy
DEPO-00009,Alogeno SUZUKI VITARA,legacy
DEPO-00009,19027,legacy
DEPO-00009,19027-L,legacy
DEPO-00010,Alogeno SUZUKI VITARA,legacy
DEPO-00010,19027-R,legacy
DEPO-00010,19027,legacy
DEPO-00011,400,legacy
DEPO-00011,Alogeno SWIFT,legacy
DEPO-00011,400-L,legacy
DEPO-00012,400,legacy
DEPO-00012,Alogeno SWIFT,legacy
DEPO-00012,400-R,legacy
DEPO-00013,A-VAR,legacy
DEPO-00013,Alogeno VARIOS,legacy
DEPO-00014,Alogeno FORESTER,legacy
DEPO-00014,114-20257-TW-R,legacy
DEPO-00014,114-20257-TW,legacy
DEPO-00015,Alogeno FORESTER,legacy
DEPO-00015,20597-C,legacy
DEPO-00016,Alogeno FORESTER AMARILLO,legacy
DEPO-00016,20597-Y,legacy
DEPO-00017,Amortiguador IPSUM 2004 TRASERO,legacy
DEPO-00017,870118-G,legacy
DEPO-00018,121118,legacy
DEPO-00018,Amortiguador TOYOTA STARLET,legacy
DEPO-00019,Amortiguador CARRY TRASERO,legacy
DEPO-00019,87017,legacy
DEPO-00020,870014,legacy
DEPO-00020,Amortiguador COROLLA TRASERO L,legacy
DEPO-00021,Amortiguador DE CALDINA RTRASERO A MUELLE,legacy
DEPO-00021,870025-G,legacy
DEPO-00022,Amortiguador DE CARRY,legacy
DEPO-00022,870106-G,legacy
DEPO-00023,87009-O,legacy
DEPO-00023,Amortiguador DE COROLLA TRASERO 90 º,legacy
DEPO-00024,870077-G,legacy
DEPO-00024,Amortiguador DE PATHINDER TERRANO TRASERO 56210-0W001,legacy
DEPO-00025,AP-P,legacy
DEPO-00025,Amortiguador DE Puerta PARES,legacy
DEPO-00026,AP-S,legacy
DEPO-00026,Amortiguador DE Puerta SUELTOS,legacy
DEPO-00027,870089,legacy
DEPO-00027,Amortiguador DELANTERO APV,legacy
DEPO-00028,Amortiguador DELANTERO HILUX 90,legacy
DEPO-00028,DS-2007,legacy
DEPO-00029,870059-G,legacy
DEPO-00029,Amortiguador DELANTERO L,legacy
DEPO-00030,870028,legacy
DEPO-00030,Amortiguador DELANTERO LEVIN TRUENO L,legacy
DEPO-00031,Amortiguador DELANTERO LEVIN TRUENO R,legacy
DEPO-00031,870027,legacy
DEPO-00032,870044,legacy
DEPO-00032,Amortiguador DELANTERO PROBOX (L),legacy
DEPO-00033,870047-G,legacy
DEPO-00033,Amortiguador Delantero R-L NOAH LITEACE 97-02 GAS,legacy
DEPO-00034,870105-G,legacy
DEPO-00034,Amortiguador DELNTERO CARRY,legacy
DEPO-00035,870021-G,legacy
