sku,part_code,base_code,side,category,description,unit_price,legacy_row_id,needs_review
DEPO-00001,2644-R,2644,R,212-15d5,212-15D5 DE HICE,,512,false
DEPO-00002,SAE-40,SAE-40,,Aceite,Aceite PARA MOTOR,20.0,1182,false
DEPO-00003,210-0202-002-L,210-0202-002,L,Alógeno,Alogeno BONGO,200.0,146,false
DEPO-00004,210-0202-002-R,210-0202-002,R,Alógeno,Alogeno BONGO,200.0,147,false
DEPO-00005,846-L,846,L,Alógeno,Alogeno JUNIOR,200.0,148,false
DEPO-00006,846-R,846,R,Alógeno,Alogeno JUNIOR,200.0,149,false
DEPO-00007,13-42-L,13-42,L,Alógeno,Alogeno LEVIN 97,250.0,1200,false
DEPO-00008,13-42-R,13-42,R,Alógeno,Alogeno LEVIN 97,250.0,1201,false
DEPO-00009,19027-L,19027,L,Alógeno,Alogeno SUZUKI VITARA,200.0,158,false
DEPO-00010,19027-R,19027,R,Alógeno,Alogeno SUZUKI VITARA,200.0,159,false
DEPO-00011,400-L,400,L,Alógeno,Alogeno SWIFT,150.0,156,false
DEPO-00012,400-R,400,R,Alógeno,Alogeno SWIFT,150.0,157,false
DEPO-00013,A-VAR,A-VAR,,Alógeno,Alogeno VARIOS,1.0,1010,false
DEPO-00014,114-20257-TW-R,114-20257-TW,R,Alógeno,Alogeno FORESTER,160.0,155,false
DEPO-00015,20597-C,20597-C,,Alógeno,Alogeno FORESTER,190.0,150,false
DEPO-00016,20597-Y,20597-Y,,Alógeno,Alogeno FORESTER AMARILLO,700.0,152,false
DEPO-00017,870118-G,870118-G,,Amortiguador,Amortiguador IPSUM 2004 TRASERO,125.0,145,false
DEPO-00018,121118,121118,,Amortiguador,Amortiguador TOYOTA STARLET,142.5,1181,false
DEPO-00019,87017,87017,,Amortiguador,Amortiguador CARRY TRASERO,142.5,1171,false
DEPO-00020,870014,870014,,Amortiguador,Amortiguador COROLLA TRASERO L,155.0,28,false
DEPO-00021,870025-G,870025-G,,Amortiguador,Amortiguador DE CALDINA RTRASERO A MUELLE,68.0,142,false
DEPO-00022,870106-G,870106-G,,Amortiguador,Amortiguador DE CARRY,150.0,36,false
DEPO-00023,87009-O,87009-O,,Amortiguador,Amortiguador DE COROLLA TRASERO 90 º,63.0,144,false
DEPO-00024,870077-G,870077-G,,Amortiguador,Amortiguador DE PATHINDER TERRANO TRASERO 56210-0W001,75.0,1135,false
DEPO-00025,AP-P,AP-P,,Amortiguador,Amortiguador DE Puerta PARES,100.0,161,false
DEPO-00026,AP-S,AP-S,,Amortiguador,Amortiguador DE Puerta SUELTOS,50.0,162,false
DEPO-00027,870089,870089,,Amortiguador,Amortiguador DELANTERO APV,142.5,1186,false
DEPO-00028,DS-2007,DS-2007,,Amortiguador,Amortiguador DELANTERO HILUX 90,125.0,1172,false
DEPO-00029,870059-G,870059-G,,Amortiguador,Amortiguador DELANTERO L,130.0,30,false
DEPO-00030,870028,870028,,Amortiguador,Amortiguador DELANTERO LEVIN TRUENO L,142.5,1178,false
DEPO-00031,870027,870027,,Amortiguador,Amortiguador DELANTERO LEVIN TRUENO R,142.5,1179,false
DEPO-00032,870044,870044,,Amortiguador,Amortiguador DELANTERO PROBOX (L),135.0,29,false
DEPO-00033,870047-G,870047-G,,Amortiguador,Amortiguador Delantero R-L NOAH LITEACE 97-02 GAS,72.0,1144,false
DEPO-00034,870105-G,870105-G,,Amortiguador,Amortiguador DELNTERO CARRY,23.0,35,false
DEPO-00035,870021-G,870021-G,,Amortiguador,Amortiguador HIACE,34.5,141,false
DEPO-00036,341372,341372,,Amortiguador,Amortiguador HIALUX VIGO DELANTERO SHIBUMI,230.0,1134,false
DEPO-00037,870065-G,870065-G,,Amortiguador,Amortiguador HONDA EG TRASERO,130.0,33,false
DEPO-00038,870100-G,870100-G,,Amortiguador,Amortiguador IPSUM MODERNO DELANTERO,68.0,34,false
DEPO-00039,2618,2618,,Amortiguador,Amortiguador IZUSU TROPER DELANTERO SHIBUMI,63.0,1136,false
DEPO-00040,870026-G,870026-G,,Amortiguador,Amortiguador LAND CRUISER,65.5,1130,false
DEPO-00041,870063-G,870063-G,,Amortiguador,Amortiguador MONTERO DELANTERO 02,130.0,32,false
DEPO-00042,870051-G,870051-G,,Amortiguador,Amortiguador MONTERO TRASER 98,65.5,1169,false
DEPO-00043,870051-O,870051-O,,Amortiguador,Amortiguador MONTERO TRASER 98,65.5,1146,false
DEPO-00044,870045,870045,,Amortiguador,Amortiguador PROBOX 4WD 1NZ 4X4 RH,42.5,1014,false
DEPO-00045,870058-G,870058-G,,Amortiguador,Amortiguador PROBOX NOAH TRASERO,72.0,1137,false
DEPO-00046,870068-G,870068-G,,Amortiguador,Amortiguador RAV4 DELANTERO,168.0,1180,false
DEPO-00047,870122,870122,,Amortiguador,Amortiguador SUZUKI ALTO,34.0,38,false
DEPO-00048,A-2159,A-2159,,Amortiguador,Amortiguador SUZUKI SWIFT L,168.0,1142,false
DEPO-00049,A-2158,A-2158,,Amortiguador,Amortiguador SUZUKI SWIFT R,168.0,1141,false
DEPO-00050,870060-G,870060-G,,Amortiguador,Amortiguador SUZUKI VITRA R,130.0,31,false
DEPO-00051,870047-O,870047-O,,Amortiguador,Amortiguador TOWN ACE NOAH DELANTERO,65.5,1143,false
DEPO-00052,870086-G,870086-G,,Amortiguador,Amortiguador TOYOTA DELANTERO HIACE,68.0,143,false
DEPO-00053,870033-G,870033-G,,Amortiguador,Amortiguador TRASERO CALDINA ESPIRAL (L),142.5,1188,false
DEPO-00054,870009-G,870009-G,,Amortiguador,Amortiguador TRASERO DE COROLLA A GAS,68.0,140,false
DEPO-00055,870103-G,870103-G,,Amortiguador,Amortiguador TRASERO MITSUBISHI CHARIOT RVR,125.0,1187,false
DEPO-00056,120079,120079,,Amortiguador,Amortiguador TRASERO STARLET EP82,50.0,2,false
DEPO-00057,870013-G,870013-G,,Amortiguador,Amortiguador Trasero TOY COROLLA RH AE101-CE100 GAS YOITOKI,142.5,1013,false
DEPO-00058,870007-G,870007-G,,Amortiguador,Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO GAS,65.5,1147,false
DEPO-00059,870007-O,870007-O,,Amortiguador,Amortiguador Trasero TOY DIESEL/GASOLINA COR/VAG TOKICO OIL,65.5,1170,false
DEPO-00060,810100-G,810100-G,,Amortiguador,Amortiguador URVAN CHANCHO E25 DELANTERO,65.5,1173,false
DEPO-00061,870008-G,870008-G,,Amortiguador,Amortiguador HIACE TRSERO,59.5,139,false
DEPO-00062,870096-G,870096-G,,Amortiguador,Amortiguador TRASERO HIACE 2001-2005 OREJA GRANDE,145.0,1145,false
DEPO-00063,SK-A,SK-A,,Anticongelante,Anticongelante SUPER KOTE COLOR AMARILLO,75.0,1192,false
DEPO-00064,SK-V,SK-V,,Anticongelante,Anticongelante SUPER KOTE COLOR VERDE,46.0,1191,false
DEPO-00065,16X7JJ-5,16X7JJ-5,,Aro,Aro SUBARU DORADO,300.0,1009,false
DEPO-00066,GPC-1001,GPC-1001,,Aspa,"Aspa IPSUM 96~97~98~99~2000 VENTILADOR COMPLETO 36,5cmX35,4cm",160.0,942,false
DEPO-00067,53131-13020-R,53131-13020,R,Bisel,Bisel COROLLA 90,1.0,961,false
DEPO-00068,13-31-R,13-31,R,Bisel,Bisel COROLLA KE70 84 212-1231,20.0,1049,false
DEPO-00069,13-28-R,13-28,R,Bisel,Bisel COROLLA KE70 84 CON FRANJA BLANCA 212-1227,20.0,1048,false
DEPO-00070,BF-CALDINA-L,BF-CALDINA,L,Bisel,Bisel DE Farol CALDINA GT,1.0,975,false
DEPO-00071,BF-CALDINA-R,BF-CALDINA,R,Bisel,Bisel DE Farol CALDINA GT,1.0,976,false
DEPO-00072,BM-JUNIOR,BM-JUNIOR,,Bisel,Bisel DE Mascara JUNIOR,1.0,974,false
DEPO-00073,BS-IMPREZA-L,BS-IMPREZA,L,Bisel,Bisel DE Stop SUBARU IMPREZA,1.0,972,false
DEPO-00074,BS-IMPREZA-R,BS-IMPREZA,R,Bisel,Bisel DE Stop SUBARU IMPREZA,1.0,973,false
DEPO-00075,53130-95J05-R,53130-95J05,R,Bisel,"Bisel HIACE Mod,85~88 Foco CUADRADO 212-1221",25.0,1051,false
DEPO-00076,74081-EX0100-L,74081-EX0100,L,Bisel,Bisel SUNNY 310,1.0,1050,false
DEPO-00077,860033,860033,,Brazo,"Brazo de cremallera HIDRAULICO IPSUM (Hilo fino x 1.5 ext.)16X14X1,5",33.0,11,false
DEPO-00078,860030,860030,,Brazo,Brazo de cremallera HIDRAULICO YOITOKI UNIVERSAL 14X16,25.0,10,false
DEPO-00079,860029,860029,,Brazo,Brazo de cremallera TOYOTA LARGO YOITOKI Mecanico 14X14,36.0,9,false
DEPO-00080,860096,860096,,Brazo,Brazo de cremallera TOYOTA/NISSAN LARGO YOITOKI Mecanico 14X15,26.0,1138,false
DEPO-00081,BU-SURF-F-R,BU-SURF-F,R,Buchera,Buchera HILUX SURF 96 FIBRA,35.0,164,false
DEPO-00082,CALIPER-VAR,CALIPER-VAR,,Caliper,Caliper STI MORDAZA,350.0,900,false
DEPO-00083,GF-DOMINGO-L,GF-DOMINGO,L,Cantonera,Cantonera METALICA DE SUBARU DOMINGO,70.0,174,false
DEPO-00084,GF-DOMINGO-R,GF-DOMINGO,R,Cantonera,Cantonera METALICA DE SUBARU DOMINGO,70.0,175,false
DEPO-00085,C-FORESTER-97,C-FORESTER-97,,Capota,Capota FORESTER 97,1.0,170,false
DEPO-00086,C-CIVIC-92,C-CIVIC-92,,Capota,Capota HONDA CIVIC EG,300.0,169,false
DEPO-00087,C-EVO4,C-EVO4,,Capota,Capota MITSUBISHI EVOLUTION 4,1000.0,171,false
DEPO-00088,C-CULTUS-91,C-CULTUS-91,,Capota,Capota SUZUKI CULTUS,300.0,176,false
DEPO-00089,C-VITARA-97,C-VITARA-97,,Capota,Capota SUZUKI VITARA 97 ESCUDO,700.0,177,false
DEPO-00090,C-SURF-96,C-SURF-96,,Capota,Capota TOYOTA HILUX SURF,700.0,178,false
DEPO-00091,CAT-300,CAT-300,,Capuchón,Capuchón CON TOPE DE Amortiguador,11.0,1084,false
DEPO-00092,400402,400402,,Capuchón,Capuchón de cremallera HIDRAULICO CORTO MAMUT,9.0,1086,false
DEPO-00093,400001,400001,,Capuchón,Capuchón de JUNTA CE90/AE90 MAMUT,9.0,1129,false
DEPO-00094,400002,400002,,Capuchón,Capuchón de JUNTA CE90/AE90 MAMUT,7.0,1085,false
DEPO-00095,400200,400200,,Capuchón,Capuchón de TRICETA Toyota AE90~CE90 MAMUT,9.0,1087,false
DEPO-00096,CHI-P-M,CHI-P-M,,Chisguete,Chisguete DE PARCHOQUE MONTERO,25.0,565,false
DEPO-00097,CP-RAV4-F,CP-RAV4-F,,Cola,Cola DE PATO RAV 4 98 FIBRA,150.0,1081,false
DEPO-00098,CP-RAV4,CP-RAV4,,Cola,Cola DE PATO RAV 4 98 ORIGINAL,300.0,1081,false
DEPO-00099,CP-FORESTER00-F,CP-FORESTER00-F,,Cola,Cola DE PATO SUBARU FORESTER 2000 Fibra vidrio,150.0,1082,false
DEPO-00100,CP-FORESTER97,CP-FORESTER97,,Cola,Cola DE PATO SUBARU FORESTER 97,50.0,1082,false
DEPO-00101,CON-VAR,CON-VAR,,Consola,Consola CENTRAL,50.0,902,false
DEPO-00102,CON-R-VAR,CON-R-VAR,,Consola,Consola de Radio CARIB Café,66.0,1199,false
DEPO-00103,212-1592-L,212-1592,L,Media,Media luz COROLLA Mod. 95 ~ 96 AE110. SAPITO,20.0,47,false
DEPO-00104,121222,121222,,Cruceta,Cruceta de dirección Completa TOYOTA AE 90 ( CARDAN ) YOI-273,40.0,1132,false
DEPO-00105,121219,121219,,Cruceta,Cruceta de dirección Completa TOYOTA TURING HIDRAULICO CORTO YOI-265,40.0,1133,false
DEPO-00106,121221,121221,,Cruceta,Cruceta de dirección Completa YOI-272 UNIVERSAL,40.0,1131,false
DEPO-00107,FJD005U,FJD005U,,Disco,Disco Subaru DOMINGO,261.0,1205,false
DEPO-00108,CPU-1F,CPU-1F,,Ecu,ECU SUBARU,700.0,908,false
DEPO-00109,CPU-4W,CPU-4W,,Ecu,ECU SUBARU,700.0,907,false
DEPO-00110,CPU-3S-G,CPU-3S-G,,Ecu,ECU TOYOTA 3SG,400.0,897,false
DEPO-00111,21-32-R,21-32,R,Embellecedor,Embellecedor CALDINA TURING,150.0,332,false
DEPO-00112,1149-204-L,1149-204,L,Embellecedor,"Embellecedor MITSUBISHI EVOLUCION LANCER1,2,3",200.0,614,false
DEPO-00113,1149-204-R,1149-204,R,Embellecedor,"Embellecedor MITSUBISHI EVOLUCION LANCER 1,2,3",200.0,615,false
DEPO-00114,2143-L,2143,L,Embellecedor,Embellecedor CALDINA GT,,1110,false
DEPO-00115,2143-R,2143,R,Embellecedor,Embellecedor CALDINA GT,50.0,1111,false
DEPO-00116,20-207-L,20-207,L,Embellecedor,Embellecedor CORONA 88-89,70.0,1019,false
DEPO-00117,20-207-R,20-207,R,Embellecedor,Embellecedor CORONA 88-89,70.0,1020,false
DEPO-00118,EM-FORESTER-F,EM-FORESTER-F,,Embellecedor,Embellecedor FORESTER FIBRA,75.0,1080,false
DEPO-00119,11216-R,11216,R,Espejo,Espejo HONDA EG ELECTRICO 3 PINES,45.0,196,false
DEPO-00120,010467-L,010467,L,Espejo,Espejo ATRAIL CROMADO,100.0,186,false
DEPO-00121,010467-R,010467,R,Espejo,Espejo ATRAIL CROMADO,100.0,187,false
DEPO-00122,547139-L,547139,L,Espejo,Espejo CAMRY,75.0,271,false
DEPO-00123,2960-L,2960,L,Espejo,Espejo CHAPULIN HUEVO,75.0,181,false
DEPO-00124,2960-R,2960,R,Espejo,Espejo CHAPULIN HUEVO,75.0,182,false
DEPO-00125,3719-L,3719,L,Espejo,Espejo CHARIOT RVR,100.0,216,false
DEPO-00126,2277-L,2277,L,Espejo,Espejo COROLLA 92 ELECTRICO 3 PINES,100.0,274,false
DEPO-00127,222111-R,222111,R,Espejo,Espejo COROLLA 92 NEGRO R/L Retrovisor MAMUT Unidad CARIB SPRINTER,75.0,1122,false
DEPO-00128,010466-L,010466,L,Espejo,Espejo DATAUN ATRAIL NEGRO,75.0,188,false
DEPO-00129,E-PT-VAR,E-PT-VAR,,Espejo,Espejo DE MALETERO UNIVERSAL VARIOS CON BRAZO,70.0,204,false
DEPO-00130,3366-R,3366,R,Espejo,Espejo HIACE 96,100.0,957,false
DEPO-00131,3367-L,3367,L,Espejo,Espejo HIACE 96 LOBO CHINO,100.0,983,false
DEPO-00132,E-HONDA-VAR,E-HONDA-VAR,,Espejo,Espejo HONDA VARIOS,75.0,202,false
DEPO-00133,2787-L,2787,L,Espejo,Espejo HONDA ACCORD 96 ELECTRICO,70.0,977,false
DEPO-00134,2787-R,2787,R,Espejo,Espejo HONDA ACCORD 96 ELECTRICO,70.0,978,false
DEPO-00135,19050-R,19050,R,Espejo,Espejo HONDA ACCORD ELECTRICO,75.0,191,false
DEPO-00136,011003-L,011003,L,Espejo,Espejo HONDA EG ELEVTRICO,70.0,192,false
