_line,_reason,ID,CODIGO,DETALLE,RECUENTO,CU,TOTAL
39,"TELEFERICO=3 is not a plausible quantity (RECUENTO=2, C/U=68) - recount",34,870100-G,Amortiguador IPSUM MODERNO DELANTERO,2,68,136
80,"M3MARIAS=17 is not a plausible quantity (RECUENTO=6, C/U=36) - recount",9,860029,Brazo de cremallera TOYOTA LARGO YOITOKI Mecanico 14X14,6,36,216
82,"M3MARIAS=6 is not a plausible quantity (RECUENTO=1, C/U=35) - recount",164,BU-SURF-F-R,Buchera HILUX SURF 96 FIBRA,1,35,35
100,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=150) - recount",1082,CP-FORESTER00-F,Cola DE PATO SUBARU FORESTER 2000 Fibra vidrio,1,150,150
104,"M3MARIAS=20 is not a plausible quantity (RECUENTO=1, C/U=20) - recount",47,212-1592-L,Media luz COROLLA Mod. 95 ~ 96 AE110. SAPITO,1,20,20
128,"TELEFERICO=3 is not a plausible quantity (RECUENTO=1, C/U=75) - recount",1122,222111-R,Espejo COROLLA 92 NEGRO R/L Retrovisor MAMUT Unidad CARIB SPRINTER,1,75,75
138,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=70) - recount",193,011003-R,Espejo HONDA EG ELEVTRICO 7 PINES,1,70,70
155,stray text in unnamed column: Espejo MITSUBISHI GALANT 96-98,220,5419-R,Espejo MITSUBISHI LANCER 99,1,70,70
160,stray text in unnamed column: Eléctrico,227,3254-L,Espejo NISSAN AVENIR,1,70,70
161,stray text in unnamed column: Eléctrico,228,3254-R,Espejo NISSAN AVENIR,1,70,70
162,stray text in unnamed column: Espejo Nissan b14 corto Eléctrico 5 pines,229,4675-E-L,Espejo NISSAN B14 ELECTRICO,4,70,280
163,stray text in unnamed column: Espejo Nissan b14 corto Eléctrico 5 pines,230,4675-E-R,Espejo NISSAN B14 ELECTRICO,3,70,210
171,stray text in unnamed column: Espejo SUNNY b 12 Manual,250,0815-L,Espejo NISSAN MARCH 87 / SKYLINE R32 /MICRA K10,1,70,70
195,stray text in unnamed column: Cresta Lx80,269,8112-L,Espejo TOYOTA CAMRY 1992,5,70,350
196,stray text in unnamed column: Cresta Lx80,270,8112-R,Espejo TOYOTA CAMRY 1992,3,70,210
199,stray text in unnamed column: E-FX-R,291,E-FX,Espejo TOYOTA COROLLA FX,1,70,70
260,"M3MARIAS=1048 is not a plausible quantity (RECUENTO=1, C/U=1048) - recount",953,214-1199-L,Farol ASX Mod. 2011~2012~2013~2014,1,1048,1048
261,"M3MARIAS=1048 is not a plausible quantity (RECUENTO=1, C/U=1048) - recount",954,214-1199-R,Farol ASX Mod. 2011~2012~2013~2014,1,1048,1048
264,"M3MARIAS=3 is not a plausible quantity (RECUENTO=1, C/U=25) - recount",963,16-45-L,Farol COROLLA 90 CON Guiñador,1,25,25
277,"TELEFERICO=2 is not a plausible quantity (RECUENTO=1, C/U=1200) - recount",115,317-1180-L,Farol HONDA CIVIC Mod. 2016~2017~2018 HATCHBACK COUPE SEDAN,1,1200,1200
315,"M3MARIAS=6 is not a plausible quantity (RECUENTO=5, C/U=100) - recount",383,10-66-R,Farol STARLET EP82,5,100,500
327,"TELEFERICO=4 is not a plausible quantity (RECUENTO=2, C/U=96) - recount",41,100-1124-L/R,Farol suelto UNIVERSAL p/foco cambiable REDONDO CRISTAL 2000,2,96,192
348,"M3MARIAS=365 is not a plausible quantity (RECUENTO=1, C/U=365) - recount",955,441-1130-L,Farol Volkswagen GOLF IV Mod.1998~1999~2000~2001~2002,1,365,365
349,"M3MARIAS=365 is not a plausible quantity (RECUENTO=1, C/U=365) - recount",956,441-1130-R,Farol Volkswagen GOLF IV Mod.1998~1999~2000~2001~2002,1,365,365
375,"M3MARIAS=21 is not a plausible quantity (RECUENTO=1, C/U=21) - recount",89,218-1602-L,Guinador de Parachoque Suzuki Samurai,1,21,21
376,"M3MARIAS=21 is not a plausible quantity (RECUENTO=1, C/U=21) - recount",90,218-1602-R,Guinador de Parachoque Suzuki Samurai,1,21,21
384,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=35) - recount",488,20-262-R,Guiñador CARINA PUNTA REDONDA,,35,0
385,"M3MARIAS=2 is not a plausible quantity (RECUENTO=, C/U=) - recount",489,20-197-L,Guiñador CARINA PUNTA REDONDA 212-1543,,,0
427,"M3MARIAS=10 is not a plausible quantity (RECUENTO=2, C/U=20) - recount",498,10-67-R,Guiñador EP 82 212-15A0,2,20,40
445,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=100) - recount",410,210-87233-R,Guiñador MONTERO,,100,0
475,"M3MARIAS=5 is not a plausible quantity (RECUENTO=4, C/U=35) - recount",485,20-271-L,Guinador CORON EN PUNTA,4,35,140
512,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",1056,TY07081GA,Mascara HIACE Mod 85/89 minibus TY07081GA TONG YANG,,,0
536,"M3MARIAS=32 is not a plausible quantity (RECUENTO=, C/U=) - recount",1074,212-1611-L,Media luz c/Guiñador COROLLA Mod. 84~85~86,,,0
536,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",1074,212-1611-L,Media luz c/Guiñador COROLLA Mod. 84~85~86,,,0
537,"M3MARIAS=32 is not a plausible quantity (RECUENTO=, C/U=) - recount",1075,212-1611-R,Media luz c/Guiñador COROLLA Mod. 84~85~86,,,0
537,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",1075,212-1611-R,Media luz c/Guiñador COROLLA Mod. 84~85~86,,,0
538,"M3MARIAS=200 is not a plausible quantity (RECUENTO=8, C/U=25) - recount",45,212-1561-K-L,Media luz COROLLA Mod.92~93~94~95,8,25,200
539,"M3MARIAS=375 is not a plausible quantity (RECUENTO=15, C/U=25) - recount",46,212-1561-K-R,Media luz COROLLA Mod.92~93~94~95,15,25,375
540,"M3MARIAS=20 is not a plausible quantity (RECUENTO=1, C/U=20) - recount",49,212-15D8-K-L,Media luz COROLLA Mod.92~99,1,20,20
541,"M3MARIAS=20 is not a plausible quantity (RECUENTO=1, C/U=20) - recount",50,212-15D8-K-R,Media luz COROLLA Mod.92~99,1,20,20
573,"M3MARIAS=2 is not a plausible quantity (RECUENTO=, C/U=) - recount",1076,212-1616-R,Media luz Toyota HIACE Mod.84~89,,,0
604,"TELEFERICO=26 is not a plausible quantity (RECUENTO=15, C/U=30) - recount",14,860039,Muñon SUSPENSIÓN CALDINA 97,15,30,450
613,"TELEFERICO=12 is not a plausible quantity (RECUENTO=10, C/U=36) - recount",18,860046,Muñon SUSPENSIÓN RAV 4,10,36,360
638,summary/total row - not an item,597,,,,700,0
673,"TELEFERICO=2 is not a plausible quantity (RECUENTO=1, C/U=1) - recount",949,333-1425-R,Guiñador JEEP RENEGADE Mod. 2015~2016~2017~2018~2019~2020~ F/SML,1,1,1
678,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=100) - recount",710,47-59-R,Stop BLUBIRT 96,1,100,100
730,"M3MARIAS=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",1032,12-127-L,Stop COROLLA KE70,,,0
733,"M3MARIAS=70 is not a plausible quantity (RECUENTO=1, C/U=70) - recount",1037,212-1967-R,Stop COROLLA Mod. 92-94 Auto,1,70,70
744,"M3MARIAS=3 is not a plausible quantity (RECUENTO=2, C/U=70) - recount",705,7110-L,Stop DATSUN B310 1979,2,70,140
748,"M3MARIAS=440 is not a plausible quantity (RECUENTO=1, C/U=440) - recount",127,334-1906-L,Stop DODGE RAM 1500 2500 PICK UP Mod.2002~2003~2004~2005~2006,1,440,440
749,"M3MARIAS=440 is not a plausible quantity (RECUENTO=1, C/U=440) - recount",128,334-1906-R,Stop DODGE RAM 1500 2500 PICK UP Mod.2002~2003~2004~2005~2006,1,440,440
750,"M3MARIAS=392 is not a plausible quantity (RECUENTO=1, C/U=392) - recount",107,231-1955-L,Stop Ford RANGER Mod. 2008~2009~2010~2011,1,392,392
752,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=250) - recount",740,220-20697-R,Stop FORESTER2000,1,250,250
753,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=70) - recount",818,795-R,Stop FX,1,70,70
770,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=300) - recount",741,220-20553-L,Stop IMPREZA,1,300,300
771,"M3MARIAS=2 is not a plausible quantity (RECUENTO=1, C/U=300) - recount",742,220-20553-R,Stop IMPREZA,1,300,300
777,"M3MARIAS=32 is not a plausible quantity (RECUENTO=1, C/U=32) - recount",51,212-1904-L,Stop LAND CRUISSER DINA Mod.74~81 UNIVERSAL,1,32,32
778,"M3MARIAS=32 is not a plausible quantity (RECUENTO=1, C/U=32) - recount",52,212-1904-R,Stop LAND CRUISSER DINA Mod.74~81 UNIVERSAL,1,32,32
818,"M3MARIAS=7 is not a plausible quantity (RECUENTO=6, C/U=70) - recount",698,4363-R,Stop NISSAN SUNNY B12,6,70,420
819,"M3MARIAS=10 is not a plausible quantity (RECUENTO=7, C/U=70) - recount",699,7344-L,Stop NISSAN SUNNY B13 DOBLE LINEA 215-1991,7,70,490
820,"M3MARIAS=13 is not a plausible quantity (RECUENTO=11, C/U=70) - recount",700,7344-R,Stop NISSAN SUNNY B13 DOBLE LINEA 215-1991,11,70,770
848,"M3MARIAS=16 is not a plausible quantity (RECUENTO=5, C/U=70) - recount",702,836-R,Stop SUNNY B13 215-1967,5,70,350
855,"M3MARIAS=6 is not a plausible quantity (RECUENTO=5, C/U=70) - recount",762,20-222-L,Stop TOYOTA CARINA 91,5,70,350
886,stray text in unnamed column: Starlet solei 91,290,3485-R,TOYOTA,1,70,70
898,summary/total row - not an item,,,,,,"273275,9"
902,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",,3686-N-L,Espejo MITSUBISHI Montero Negro ELECTRICO,,,
903,"M3MARIAS=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",,3686-N-R,Espejo MITSUBISHI Montero Negro ELECTRICO,,,
903,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",,3686-N-R,Espejo MITSUBISHI Montero Negro ELECTRICO,,,
904,"M3MARIAS=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",,VZV-32-L,Espejo Toyota Camry 92,,,
904,"TELEFERICO=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",,VZV-32-L,Espejo Toyota Camry 92,,,
906,"M3MARIAS=1 is not a plausible quantity (RECUENTO=, C/U=) - recount",,G-35-L,Espejo Toyota Varios,,,
